team,player,position,caps,club
Paraguay,Juan Cáceres,DF,0,
Paraguay,Gustavo Velázquez,DF,13,Cerro Porteño
Paraguay,José Canale,DF,2,Lanús
Paraguay,Alexandro Maidana,DF,2,Talleres
Paraguay,Andrés Cubas,MF,33,Vancouver Whitecaps FC
Paraguay,Kaku,MF,33,Al Ain
Paraguay,Miguel Almirón,MF,76,Atlanta United FC
Paraguay,Mauricio,MF,3,Palmeiras
Paraguay,Braian Ojeda,MF,17,Orlando City SC
Paraguay,Matías Galarza,MF,15,Atlanta United FC
Paraguay,Damian Bobadilla,MF,19,São Paulo
Paraguay,Diego Gómez,MF,24,Brighton & Hove Albion
Paraguay,Antonio Sanabria,FW,48,Cremonese
Paraguay,Gabriel Ávalos,FW,23,Independiente
Paraguay,Isidro Pitta,FW,5,Red Bull Bragantino
Paraguay,Ramón Sosa,FW,29,Palmeiras
Paraguay,Julio Enciso,FW,32,Strasbourg
Paraguay,Gustavo Caballero,FW,2,Portsmouth
Paraguay,Alex Arce,FW,15,Independiente Rivadavia
Argentina,Géronimo Rulli,GK,7,Marseille
Argentina,Emiliano Martínez,GK,59,Aston Villa
Argentina,Juan Musso,GK,4,Atlético Madrid
Argentina,Nicolás Otamendi,DF,131,Benfica
Argentina,Nicolás Tagliafico,DF,76,Lyon
Argentina,Gonzalo Montiel,DF,38,River Plate
Argentina,Christian Romero,DF,0,
Argentina,Facundo Medina,DF,8,Marseille
Argentina,Lisandro Martínez,DF,27,Manchester United
Argentina,Nahuel Molina,DF,58,Atlético Madrid
Argentina,Leonardo Balerdi,DF,0,
Argentina,Valentin Barco,DF,3,Strasbourg
Argentina,Rodrigo de Paul,MF,86,Inter Miami CF
Argentina,Leandro Paredes,MF,77,Boca Juniors
Argentina,Giovani Lo Celso,MF,66,Real Betis
Argentina,Exequiel Palacios,MF,39,Bayer Leverkusen
Argentina,Alexis Mac Allister,MF,45,Liverpool
Argentina,Thiago Almada,MF,15,Atlético Madrid
Argentina,Enzo Fernández,MF,41,Chelsea
Argentina,Nico Paz,MF,8,Como
Argentina,Lionel Messi,FW,198,Inter Miami CF
Argentina,Lautaro Martínez,FW,76,Inter Milan
Argentina,Nicolás González,FW,50,Atlético Madrid
Argentina,Julián Álvarez,FW,51,Atlético Madrid
Argentina,José Manuel López,FW,4,Palmeiras
Argentina,Giuliano Simeone,FW,12,Atlético Madrid
Ghana,Lawrence Ati-Zigi,GK,29,St. Gallen
Ghana,Joseph Anang,GK,1,St Patrick's Athletic
Ghana,Benjamin Asare,GK,11,Hearts of Oak
Ghana,Abdul Rahman Baba,DF,51,PAOK
Ghana,Derrick Luckassen,DF,1,Pafos
Ghana,Gideon Mensah,DF,40,Auxerre
Ghana,Abdul Mumin,DF,5,Rayo Vallecano
Ghana,Jerome Opoku,DF,11,İstanbul Başakşehir
Ghana,Alidu Seidu,DF,24,Rennes
Ghana,Marvin Senaya,DF,2,Auxerre
Ghana,Jonas Adjei Adjetey,DF,0,
Ghana,Kojo Peprah Oppong,DF,4,Nice
Ghana,Thomas Partey,MF,57,Villarreal
Ghana,Elisha Owusu,MF,20,Auxerre
Ghana,Kwasi Sibo,MF,8,Oviedo
Ghana,Augustine Boakye,MF,0,Saint-Étienne
Ghana,Caleb Yirenkyi,MF,11,Nordsjælland
Ghana,Antoine Semenyo,FW,34,Manchester City
Ghana,Brandon Thomas-Asante,FW,8,Coventry City
Ghana,Jordan Ayew,FW,120,Leicester City
Ghana,Iñaki Williams,FW,26,Athletic Bilbao
Ghana,Kamal Deen Sulemana,FW,0,
Ghana,Ernest Nuamah,FW,18,Lyon
Ghana,Abdul Issahaku,FW,0,
Ghana,Christopher Bonsu Baah,FW,9,Al-Qadsiah
Ghana,Prince Adu,FW,0,
Brazil,Weverton,GK,11,Grêmio
Brazil,Alisson Becker,GK,0,
Brazil,Ederson,GK,0,
Brazil,Roger Ibañez,DF,7,Al-Ahli
Brazil,Bremer,DF,8,Juventus
Brazil,Alex Sandro,DF,45,Flamengo
Brazil,Marquinhos,DF,105,Paris Saint-Germain
