player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
102423,Leandro Cabrera,RCD Espanyol Barcelona,2021-22,DF,30,3330,2,0,2022-05-22,2022-06-03,4.0
107010,Stefan Savic,Atlético de Madrid,2021-22,DF,31,2441,0,0,2022-05-22,2022-06-03,16.0
108390,Thibaut Courtois,Real Madrid,2021-22,GK,30,3240,0,0,2022-05-22,2022-06-03,60.0
111630,Erik Lamela,Sevilla FC,2021-22,FW,30,1015,5,2,2022-05-22,2022-06-03,16.0
111819,Neto,FC Barcelona,2021-22,GK,32,270,0,0,2022-05-22,2022-06-03,3.0
111961,Suso,Sevilla FC,2021-22,MF,28,388,0,1,2022-05-22,2022-06-03,10.0
113133,Germán Pezzella,Real Betis Balompié,2021-22,DF,30,1991,1,0,2022-05-22,2022-06-03,5.0
118997,Aitor Fernández,Levante UD,2021-22,GK,31,1167,0,0,2022-05-22,2022-06-03,2.5
119235,Carlos Bacca,Granada CF,2021-22,FW,35,506,0,1,2022-05-22,2022-06-03,1.0
119905,Hugo Mallo,Celta de Vigo,2021-22,DF,30,1829,1,1,2022-05-22,2022-06-03,4.0
120095,José Campaña,Levante UD,2021-22,MF,28,1419,2,2,2022-05-22,2022-06-03,6.0
120443,Santiago Arias,Granada CF,2021-22,DF,30,433,1,0,2022-05-22,2022-06-03,4.0
121483,Jan Oblak,Atlético de Madrid,2021-22,GK,29,3420,0,0,2022-05-22,2022-06-03,45.0
122043,Héctor Herrera,Atlético de Madrid,2021-22,MF,32,851,0,0,2022-05-22,2022-06-03,5.0
122155,Willian José,Real Betis Balompié,2021-22,FW,30,1609,9,4,2022-05-22,2022-06-03,12.0
125165,Jesús Corona,Sevilla FC,2021-22,FW,29,1162,2,4,2022-05-22,2022-06-03,18.0
125781,Antoine Griezmann,Atlético de Madrid,2021-22,FW,31,1971,3,5,2022-05-22,2022-06-03,35.0
126540,Samuel Umtiti,FC Barcelona,2021-22,DF,28,90,0,0,2022-05-22,2022-06-03,2.0
126716,Paco Alcácer,Villarreal CF,2021-22,FW,28,790,1,3,2022-05-22,2022-06-03,9.0
126737,Juanmi,Real Betis Balompié,2021-22,FW,29,2146,16,5,2022-05-22,2022-06-03,15.0
126751,Iñigo Ruiz de Galarreta,RCD Mallorca,2021-22,MF,28,1388,0,0,2022-05-22,2022-06-03,1.8
127032,Serge Aurier,Villarreal CF,2021-22,DF,29,1003,0,1,2022-05-22,2022-06-03,10.0
127108,Florian Lejeune,Deportivo Alavés,2021-22,DF,31,2700,0,0,2022-05-22,2022-06-03,2.0
127189,Geoffrey Kondogbia,Atlético de Madrid,2021-22,MF,29,1884,1,2,2022-05-22,2022-06-03,20.0
128969,Mathew Ryan,Real Sociedad,2021-22,GK,30,270,0,0,2022-05-22,2022-06-03,5.0
129444,David López (129444),RCD Espanyol Barcelona,2021-22,DF,32,742,0,0,2022-05-22,2022-06-03,1.8
129473,Rafinha,Real Sociedad,2021-22,MF,29,1059,1,0,2022-05-22,2022-06-03,9.0
131102,Jeison Murillo,Celta de Vigo,2021-22,DF,29,1115,0,0,2022-05-22,2022-06-03,3.5
131275,Choco Lozano,Cádiz CF,2021-22,FW,29,1675,7,4,2022-05-22,2022-06-03,4.0
133794,Edgar Méndez,Deportivo Alavés,2021-22,FW,32,1614,1,1,2022-05-22,2022-06-03,1.2
135492,Youssouf Sabaly,Real Betis Balompié,2021-22,DF,29,789,0,1,2022-05-22,2022-06-03,3.0
137616,Okay Yokuşlu,Getafe CF,2021-22,MF,28,596,0,0,2022-05-22,2022-06-03,3.0
138927,Daniel Carvajal,Real Madrid,2021-22,DF,30,1552,1,3,2022-05-22,2022-06-03,18.0
139435,Dani Rodríguez (139435),RCD Mallorca,2021-22,MF,33,2841,3,4,2022-05-22,2022-06-03,1.2
139895,Tomás Pina,Deportivo Alavés,2021-22,MF,34,1444,0,0,2022-05-22,2022-06-03,0.8
140436,Lei Wu,RCD Espanyol Barcelona,2021-22,FW,30,459,1,0,2022-05-22,2022-06-03,2.5
140776,Yannick Carrasco,Atlético de Madrid,2021-22,FW,28,2593,6,6,2022-05-22,2022-06-03,40.0
141834,Cristian Tello,Real Betis Balompié,2021-22,FW,30,806,2,2,2022-05-22,2022-06-03,5.0
142021,Sergi Darder,RCD Espanyol Barcelona,2021-22,MF,28,3115,3,10,2022-05-22,2022-06-03,14.0
142031,Omar Mascarell,Elche CF,2021-22,MF,29,2506,0,0,2022-05-22,2022-06-03,4.0
