player_id,player,team,season,position,age,minutes,goals,assists,feature_cutoff,valuation_date,market_value_eur_m
83466,André Almeida,SL Benfica,2021-22,DF,31,236,0,0,2022-05-28,2022-05-31,1.5
84301,Benjamin André,LOSC Lille,2021-22,MF,31,630,0,0,2022-05-28,2022-05-30,12.0
84483,Aleksandr Erokhin,AO FK Zenit Sankt-Peterburg,2021-22,MF,32,102,0,0,2022-05-28,2022-06-02,1.5
85148,Julian Draxler,Paris Saint-Germain,2021-22,FW,28,142,0,1,2022-05-28,2022-05-30,18.0
85370,Sergi Roberto,FC Barcelona,2021-22,MF,30,169,0,0,2022-05-28,2022-06-03,6.0
85867,Nico Schulz,Borussia Dortmund,2021-22,DF,29,195,0,1,2022-05-28,2022-06-09,4.0
86202,Antonio Rüdiger,Chelsea FC,2021-22,DF,29,840,1,2,2022-05-28,2022-06-15,40.0
86930,Fabrice N'Sakala,Beşiktaş Jimnastik Kulübü,2021-22,DF,31,270,0,0,2022-05-28,2022-06-01,0.15
88682,Mattia De Sciglio,Juventus FC,2021-22,DF,29,286,0,1,2022-05-28,2022-06-07,6.0
88755,Kevin De Bruyne,Manchester City,2021-22,MF,30,735,2,3,2022-05-28,2022-06-15,85.0
91849,Thomas Delaney,Sevilla FC,2021-22,MF,30,200,0,0,2022-05-28,2022-06-03,7.0
91970,Juan Cuadrado,Juventus FC,2021-22,MF,34,473,0,0,2022-05-28,2022-06-07,8.0
93704,Josuha Guilavogui,VfL Wolfsburg,2021-22,MF,31,430,0,0,2022-05-28,2022-05-30,3.5
93740,Willi Orbán,RB Leipzig,2021-22,DF,29,315,0,0,2022-05-28,2022-06-09,10.0
95152,Welinton,Beşiktaş Jimnastik Kulübü,2021-22,DF,33,313,0,0,2022-05-28,2022-06-01,1.0
95424,Kyle Walker,Manchester City,2021-22,DF,32,578,1,0,2022-05-28,2022-06-15,18.0
95810,Kieran Trippier,Atlético de Madrid,2021-22,DF,31,220,0,0,2022-05-28,2022-06-15,15.0
96341,Romelu Lukaku,Chelsea FC,2021-22,FW,29,320,2,1,2022-05-28,2022-06-15,70.0
98547,Stanislav Kritsyuk,AO FK Zenit Sankt-Peterburg,2021-22,GK,31,360,0,0,2022-05-28,2022-06-02,1.5
99343,Ander Herrera,Paris Saint-Germain,2021-22,MF,32,326,1,0,2022-05-28,2022-05-30,10.0
100986,Thomas Meunier,Borussia Dortmund,2021-22,DF,30,484,0,1,2022-05-28,2022-06-09,6.5
102017,Jorginho,Chelsea FC,2021-22,MF,30,560,2,2,2022-05-28,2022-06-15,40.0
102226,Thorgan Hazard,Borussia Dortmund,2021-22,MF,29,142,0,0,2022-05-28,2022-06-09,15.0
102427,Sebastián Coates,Sporting CP,2021-22,DF,31,540,2,0,2022-05-28,2022-05-31,8.0
102558,Marco Verratti,Paris Saint-Germain,2021-22,MF,29,432,0,0,2022-05-28,2022-05-30,50.0
105470,Alisson,Liverpool FC,2021-22,GK,29,1170,0,0,2022-05-28,2022-06-15,50.0
106987,Marcel Sabitzer,Bayern Munich,2021-22,MF,28,132,0,0,2022-05-28,2022-06-09,15.0
107010,Stefan Savic,Atlético de Madrid,2021-22,DF,31,450,0,0,2022-05-28,2022-06-03,16.0
108390,Thibaut Courtois,Real Madrid,2021-22,GK,30,1230,0,0,2022-05-28,2022-06-03,60.0
108880,Koen Casteels,VfL Wolfsburg,2021-22,GK,29,450,0,0,2022-05-28,2022-06-09,11.0
109256,Haris Seferovic,SL Benfica,2021-22,FW,30,9,0,0,2022-05-28,2022-05-31,8.0
110923,Mattia Perin,Juventus FC,2021-22,GK,29,90,0,0,2022-05-28,2022-06-07,4.0
111078,Emil Forsberg,RB Leipzig,2021-22,FW,30,386,2,2,2022-05-28,2022-06-09,11.0
111196,Stefan de Vrij,Inter Milan,2021-22,DF,30,487,1,0,2022-05-28,2022-06-07,28.0
111630,Erik Lamela,Sevilla FC,2021-22,FW,30,119,0,1,2022-05-28,2022-06-03,16.0
111961,Suso,Sevilla FC,2021-22,MF,28,228,0,0,2022-05-28,2022-06-03,10.0
112465,Sérgio Oliveira,FC Porto,2021-22,MF,29,301,1,0,2022-05-28,2022-06-07,12.0
112515,Marcos Alonso,Chelsea FC,2021-22,DF,31,548,0,0,2022-05-28,2022-06-15,12.0
117674,Maximilian Arnold,VfL Wolfsburg,2021-22,MF,28,540,0,3,2022-05-28,2022-06-09,17.0
118287,Rachid Ghezzal,Beşiktaş Jimnastik Kulübü,2021-22,FW,30,345,1,0,2022-05-28,2022-06-01,8.5
119228,Luis Muriel,Atalanta BC,2021-22,FW,31,129,1,0,2022-05-28,2022-06-07,20.0
119277,Yannick Gerhardt,VfL Wolfsburg,2021-22,MF,28,191,0,1,2022-05-28,2022-06-09,6.0
119296,Emre Can,Borussia Dortmund,2021-22,DF,28,74,0,0,2022-05-28,2022-06-09,16.0
119557,Kenan Karaman,Beşiktaş Jimnastik Kulübü,2021-22,FW,28,264,0,0,2022-05-28,2022-06-01,1.4
121483,Jan Oblak,Atlético de Madrid,2021-22,GK,29,900,0,0,2022-05-28,2022-06-03,45.0
122043,Héctor Herrera,Atlético de Madrid,2021-22,MF,32,226,0,0,2022-05-28,2022-06-03,5.0
122153,Paul Pogba,Manchester United,2021-22,MF,29,347,0,0,2022-05-28,2022-06-15,48.0
124419,Odysseas Vlachodimos,SL Benfica,2021-22,GK,28,900,0,0,2022-05-28,2022-05-31,15.0
124732,John Brooks,VfL Wolfsburg,2021-22,DF,29,331,0,0,2022-05-28,2022-06-09,7.0
125020,José Luis Palomino,Atalanta BC,2021-22,DF,32,450,1,1,2022-05-28,2022-06-07,7.5
125165,Jesús Corona,FC Porto,2021-22,FW,29,212,0,0,2022-05-28,2022-06-03,18.0
125781,Antoine Griezmann,Atlético de Madrid,2021-22,FW,31,519,4,2,2022-05-28,2022-06-03,35.0
126414,Hakan Çalhanoğlu,Inter Milan,2021-22,MF,28,419,0,0,2022-05-28,2022-06-07,35.0
126665,Idrissa Gueye,Paris Saint-Germain,2021-22,MF,32,401,1,0,2022-05-28,2022-05-30,12.0
126716,Paco Alcácer,Villarreal CF,2021-22,FW,28,73,1,0,2022-05-28,2022-06-03,9.0
127032,Serge Aurier,Villarreal CF,2021-22,DF,29,129,0,1,2022-05-28,2022-06-03,10.0
127076,Jérôme Roussillon,VfL Wolfsburg,2021-22,DF,29,363,0,0,2022-05-28,2022-06-09,4.5
127189,Geoffrey Kondogbia,Atlético de Madrid,2021-22,MF,29,578,0,0,2022-05-28,2022-06-03,20.0
128223,Álvaro Morata,Juventus FC,2021-22,FW,29,521,2,1,2022-05-28,2022-06-07,25.0
129386,Zouhair Feddal,Sporting CP,2021-22,DF,32,451,0,0,2022-05-28,2022-05-31,2.5
129554,Steven Berghuis,Ajax Amsterdam,2021-22,FW,30,629,3,1,2022-05-28,2022-06-08,14.0
130365,Alessandro Florenzi,AC Milan,2021-22,DF,31,88,0,0,2022-05-28,2022-06-07,5.5
131225,Nicolás Tagliafico,Ajax Amsterdam,2021-22,DF,29,139,0,1,2022-05-28,2022-06-08,11.0
131789,Roberto Firmino,Liverpool FC,2021-22,FW,30,324,5,0,2022-05-28,2022-06-15,32.0
131978,Ross Barkley,Chelsea FC,2021-22,MF,28,96,0,0,2022-05-28,2022-06-15,12.0
133179,Marten de Roon,Atalanta BC,2021-22,MF,31,484,0,0,2022-05-28,2022-06-07,17.0
134425,Raheem Sterling,Manchester City,2021-22,FW,27,580,3,2,2022-05-28,2022-06-15,70.0
137206,Magomed Ozdoev,AO FK Zenit Sankt-Peterburg,2021-22,MF,29,11,1,0,2022-05-28,2022-06-02,2.5
138927,Daniel Carvajal,Real Madrid,2021-22,DF,30,958,0,1,2022-05-28,2022-06-03,18.0
139208,Virgil van Dijk,Liverpool FC,2021-22,DF,30,810,0,1,2022-05-28,2022-06-15,55.0
139395,Ricardo Esgaio,Sporting CP,2021-22,DF,29,379,0,2,2022-05-28,2022-05-31,5.0
140776,Yannick Carrasco,Atlético de Madrid,2021-22,FW,28,472,0,0,2022-05-28,2022-06-03,40.0
141050,Danilo Pereira,Paris Saint-Germain,2021-22,DF,30,362,0,0,2022-05-28,2022-05-30,14.0
141660,Jesse Lingard,Manchester United,2021-22,MF,29,116,0,1,2022-05-28,2022-06-15,18.0
143424,Alex Oxlade-Chamberlain,Liverpool FC,2021-22,MF,28,300,0,1,2022-05-28,2022-06-15,16.0
143812,Matías Vecino,Inter Milan,2021-22,MF,30,124,0,0,2022-05-28,2022-06-07,3.5
143891,Maximilian Philipp,VfL Wolfsburg,2021-22,FW,28,90,0,0,2022-05-28,2022-06-09,4.5
