player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Jorge Herrando,Osasuna,2024-25,DF,23.0,1366,1,0,12,0,1,17,12
Jorge Sáenz,Leganés,2024-25,DF,27.0,1690,1,0,8,2,4,37,25
Jorge de Frutos,Rayo Vallecano,2024-25,FW,27.0,2495,6,3,52,31,32,37,19
Joseph Aidoo,Valladolid,2024-25,DF,28.0,585,0,0,1,0,1,6,5
José Arnaiz,Osasuna,2024-25,FW,29.0,133,0,0,6,3,1,7,5
José Campaña,Las Palmas,2024-25,MF,31.0,1189,0,3,5,14,8,21,19
José Carlos González,Las Palmas,2024-25,DF,18.0,11,0,0,0,0,0,0,0
José Gragera,Espanyol,2024-25,MF,23.0,569,0,0,2,1,1,25,5
José Luis García Vayá,Valencia,2024-25,MF,25.0,1742,2,2,12,32,8,43,19
José Luis Gayà,Valencia,2024-25,DF,29.0,1803,0,1,12,24,7,57,25
José María Giménez,Atlético Madrid,2024-25,DF,29.0,1999,0,1,5,2,2,26,27
Juan Bernat,Getafe,2024-25,MF,31.0,911,0,2,6,11,15,28,3
Juan Berrocal,Getafe,2024-25,DF,25.0,1063,0,0,4,1,0,14,15
Juan Cruz,Leganés,2024-25,FW,24.0,2257,5,4,33,24,40,32,13
Juan Cruz Armada,Osasuna,2024-25,DF,32.0,1492,0,0,4,2,1,26,9
Juan Foyth,Villarreal,2024-25,DF,26.0,1517,1,0,17,7,4,25,19
Juan Herzog,Las Palmas,2024-25,DF,21.0,1315,0,0,12,0,0,12,18
Juan Musso,Atlético Madrid,2024-25,GK,30.0,180,0,0,0,0,0,0,0
Juan Soriano,Leganés,2024-25,GK,26.0,540,0,0,0,0,0,1,0
Juanlu Sánchez,Sevilla,2024-25,MF,20.0,1722,4,4,13,24,11,50,17
Juanmi,Getafe,2024-25,FW,31.0,940,0,0,19,8,8,21,3
Juanmi Latasa,Valladolid,2024-25,FW,23.0,1398,3,0,40,13,8,4,0
Juanpe,Girona,2024-25,DF,33.0,727,0,0,2,3,0,8,8
