player,team,season,position,age,minutes,goals,assists,shots,key_passes,dribbles,tackles,interceptions
Marco Bizot,Brest,2024-25,GK,33.0,2880,0,0,0,0,0,2,0
Marcus Coco,Nantes,2024-25,DF,28.0,951,0,1,2,10,3,27,11
Marius Courcoul,Angers,2024-25,MF,17.0,309,0,0,3,1,1,5,5
Mark McKenzie,Toulouse,2024-25,DF,25.0,2496,1,1,8,4,4,52,22
Marquinhos,Paris S-G,2024-25,DF,30.0,1725,2,0,8,9,3,30,11
Marshall Munetsi,Reims,2024-25,MF,28.0,1692,4,2,32,19,6,36,17
Martin Adeline,Reims,2024-25,MF,20.0,26,0,0,0,0,0,1,0
Martin Satriano,Lens,2024-25,FW,23.0,88,0,0,5,2,1,3,0
Marvin Senaya,Strasbourg,2024-25,DF,23.0,227,0,0,1,2,0,8,7
Marwann Nzuzi,Saint-Étienne,2024-25,DF,20.0,125,0,0,2,1,0,2,2
Mason Greenwood,Marseille,2024-25,FW,22.0,2804,21,5,111,47,54,35,12
Massadio Haïdara,Brest,2024-25,DF,31.0,1678,0,0,10,8,15,27,26
Mathew Ryan,Lens,2024-25,GK,32.0,1260,0,0,0,0,0,1,1
Mathias Pereira Lage,Brest,2024-25,FW,27.0,1571,2,7,36,22,10,37,20
Mathieu Cafaro,Saint-Étienne,2024-25,MF,27.0,732,1,0,23,13,7,10,7
Mathieu Gorgelin,Le Havre,2024-25,GK,33.0,1440,0,0,0,0,1,2,0
Mathis Amougou,Saint-Étienne,2024-25,MF,18.0,859,0,0,7,7,5,21,12
Mathéo Bodmer,Le Havre,2024-25,MF,20.0,6,0,0,0,0,0,0,0
Matias Fernandez-Pardo,Lille,2024-25,FW,19.0,1065,4,2,23,16,20,12,3
Matthis Abline,Nantes,2024-25,FW,21.0,2768,9,2,73,27,35,11,4
Matvei Safonov,Paris S-G,2024-25,GK,25.0,879,0,0,0,0,0,0,1
Maxence Caqueret,Lyon,2024-25,MF,24.0,573,0,0,7,10,7,21,7
Maxime Bernauer,Saint-Étienne,2024-25,DF,26.0,763,0,0,2,1,2,9,5
Melvin Bard,Nice,2024-25,DF,23.0,1938,2,1,23,15,22,53,29
Melvin Zinga,Angers,2024-25,GK,22.0,90,0,0,0,0,0,0,0
Meschak Elia,Nantes,2024-25,FW,26.0,170,1,0,5,3,2,7,0
Michael Amir Murillo,Marseille,2024-25,DF,28.0,2437,1,3,13,24,14,49,18
Mickael Nade,Saint-Étienne,2024-25,DF,25.0,2306,1,2,5,7,3,59,33
Miha Zajc,Toulouse,2024-25,MF,30.0,262,0,0,6,3,3,4,3
Mika Biereth,Monaco,2024-25,FW,21.0,1228,13,2,40,22,1,5,4
Mikayil Ngor Faye,Rennes,2024-25,DF,20.0,688,0,0,6,1,2,15,12
Milan Škriniar,Paris S-G,2024-25,DF,29.0,382,0,0,3,1,0,7,3
Milos Lukovic,Strasbourg,2024-25,FW,18.0,12,0,0,0,0,0,0,0
Mitchel Bakker,Lille,2024-25,FW,24.0,1139,3,2,23,23,11,23,12
Modibo Sagnan,Montpellier,2024-25,DF,25.0,2141,2,0,11,6,13,57,29
Mohamed Abdelmoneim,Nice,2024-25,DF,25.0,855,0,0,0,0,1,21,15
Mohamed Ali Cho,Nice,2024-25,FW,20.0,1621,3,4,36,30,20,13,5
Mohamed Bamba,Reims,2024-25,MF,19.0,10,0,0,0,0,0,0,0
